cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
223.12,223.12,0,176.51,4.66,965.85,823.06,28,52.25
178.19,267.28,0,176.21,4.65,964.19,821.64,28,50.93055555555557
310.13,0,132.91,175.25,4.63,958.95,817.17,91,63.09670329670328
264.44,0,176.3,174.34,4.6,953.95,812.92,91,62.63736263736263
219.23,0,219.23,173.43,4.58,949.01,808.7,91,55.21483516483516
174.48,0,261.72,172.54,4.56,944.12,804.53,91,49.18076923076923
313.45,134.33,0,177.12,4.68,969.2,825.91,91,65.69230452674897
268.2,178.8,0,176.82,4.67,967.52,824.48,91,62.77388888888889
223.12,223.12,0,176.51,4.66,965.85,823.06,91,58.75433333333334
178.19,267.28,0,176.21,4.65,964.19,821.64,91,59.10583333333333
393.66,0,168.71,151.86,5.39,930.76,793.6,3,41.08401666666667
335.2,0,223.46,150.86,5.35,924.61,788.36,3,39.3623
277.5,0,277.5,149.87,5.32,918.55,783.18,3,27.179499999999997
221.48,0,322.57,149.52,5.31,916.41,781.36,3,26.305500000000002
399.02,171.01,0,153.93,5.46,943.42,804.39,3,49.15370370370371
341.26,227.51,0,153.59,5.45,941.35,802.62,3,45.188333333333325
283.76,283.76,0,153.25,5.44,939.28,800.86,3,30.980555555555558
227.31,331.07,0,153.46,5.45,940.54,801.93,3,28.869444444444444
393.66,0,168.71,151.86,5.39,930.76,793.6,7,47.6368
335.2,0,223.46,150.86,5.35,924.61,788.36,7,45.63300370370371
277.5,0,277.5,149.87,5.32,918.55,783.18,7,43.50683333333333
221.48,0,322.57,149.52,5.31,916.41,781.36,7,39.07350000000001
399.02,171.01,0,153.93,5.46,943.42,804.39,7,52.49699999999999
341.26,227.51,0,153.59,5.45,941.35,802.62,7,49.74200000000001
283.76,283.76,0,153.25,5.44,939.28,800.86,7,45.529629629629625
227.31,331.07,0,153.46,5.45,940.54,801.93,7,41.49388888888889
393.66,0,168.71,151.86,5.39,930.76,793.6,28,73.81069958847738
335.2,0,223.46,150.86,5.35,924.61,788.36,28,69.70576131687244
277.5,0,277.5,149.87,5.32,918.55,783.18,28,59.543888888888894
221.48,0,322.57,149.52,5.31,916.41,781.36,28,60.047037037037036
399.02,171.01,0,153.93,5.46,943.42,804.39,28,77.2654938271605
341.26,227.51,0,153.59,5.45,941.35,802.62,28,75.9695061728395
283.76,283.76,0,153.25,5.44,939.28,800.86,28,71.24472222222222
227.31,331.07,0,153.46,5.45,940.54,801.93,28,70.2749794238683
393.66,0,168.71,151.86,5.39,930.76,793.6,91,78.29442592592592
335.2,0,223.46,150.86,5.35,924.61,788.36,91,80.8062962962963
277.5,0,277.5,149.87,5.32,918.55,783.18,91,75.39129629629629
221.48,0,322.57,149.52,5.31,916.41,781.36,91,71.30981481481483
399.02,171.01,0,153.93,5.46,943.42,804.39,91,82.29111111111112
341.26,227.51,0,153.59,5.45,941.35,802.62,91,81.36222222222223
283.76,283.76,0,153.25,5.44,939.28,800.86,91,77.95277777777778
227.31,331.07,0,153.46,5.45,940.54,801.93,91,74.20203703703704
268.2,178.8,0,176.82,4.67,967.52,824.48,3,35.71296296296296
267.44,142.64,35.66,176.31,4.66,967.52,824.48,3,36.70518518518519
266.69,106.67,71.12,175.82,4.64,967.52,824.48,3,38.035185185185185
265.93,70.92,106.37,175.32,4.63,967.52,824.48,3,32.17685185185186
265.19,35.36,141.43,174.83,4.62,967.52,824.48,3,31.666666666666668
264.44,0,176.3,174.34,4.6,967.52,824.48,3,31.66318681318681
268.2,178.8,0,176.82,4.67,967.52,824.48,7,42.53888888888889
267.44,142.64,35.66,176.31,4.66,967.52,824.48,7,45.91666666666667
266.69,106.67,71.12,175.82,4.64,967.52,824.48,7,47.11296296296296
265.93,70.92,106.37,175.32,4.63,967.52,824.48,7,42.43333333333333
265.19,35.36,141.43,174.83,4.62,967.52,824.48,7,40.43833333333333
264.44,0,176.3,174.34,4.6,967.52,824.48,7,35.494505494505496
268.2,178.8,0,176.82,4.67,967.52,824.48,28,52.51388888888889
267.44,142.64,35.66,176.31,4.66,967.52,824.48,28,55.252
266.69,106.67,71.12,175.82,4.64,967.52,824.48,28,55.293166666666664
265.93,70.92,106.37,175.32,4.63,967.52,824.48,28,51.19233333333333
265.19,35.36,141.43,174.83,4.62,967.52,824.48,28,50.49725000000001
264.44,0,176.3,174.34,4.6,967.52,824.48,28,48.74230769230769
268.2,178.8,0,176.82,4.67,967.52,824.48,91,62.77388888888889
267.44,142.64,35.66,176.31,4.66,967.52,824.48,91,60.8855
266.69,106.67,71.12,175.82,4.64,967.52,824.48,91,64.21999999999998
265.93,70.92,106.37,175.32,4.63,967.52,824.48,91,65.56583333333333
265.19,35.36,141.43,174.83,4.62,967.52,824.48,91,72.31083333333332
264.44,0,176.3,174.34,4.6,967.52,824.48,91,62.63736263736263
341.26,227.51,0,153.59,5.45,941.35,802.62,3,45.18833333333336
336.39,44.85,179.41,151.4,5.37,927.91,791.17,3,55.701561111111126
337.6,90.03,135.04,151.94,5.39,931.23,794,3,60.74722222222223
338.81,135.52,90.35,152.48,5.41,934.58,796.85,3,54.50712962962963
340.03,181.35,45.34,153.03,5.43,937.95,799.73,3,48.17925
335.2,0,223.46,150.86,5.35,924.61,788.36,3,39.3623
341.26,227.51,0,153.59,5.45,941.35,802.62,7,49.74200000000001
336.39,44.85,179.41,151.4,5.37,927.91,791.17,7,64.20100000000001
337.6,90.03,135.04,151.94,5.39,931.23,794,7,62.27883333333334
338.81,135.52,90.35,152.48,5.41,934.58,796.85,7,55.702124074074085
340.03,181.35,45.34,153.03,5.43,937.95,799.73,7,51.099444444444444
335.2,0,223.46,150.86,5.35,924.61,788.36,7,45.63300370370371
341.26,227.51,0,153.59,5.45,941.35,802.62,28,75.9695061728395
336.39,44.85,179.41,151.4,5.37,927.91,791.17,28,88.60650000000001
337.6,90.03,135.04,151.94,5.39,931.23,794,28,86.86710437710438
338.81,135.52,90.35,152.48,5.41,934.58,796.85,28,80.14675000000001
340.03,181.35,45.34,153.03,5.43,937.95,799.73,28,76.54783333333333
335.2,0,223.46,150.86,5.35,924.61,788.36,28,69.70576131687244
341.26,227.51,0,153.59,5.45,941.35,802.62,91,81.36222222222223
336.39,44.85,179.41,151.4,5.37,927.91,791.17,91,88.53366666666668
337.6,90.03,135.04,151.94,5.39,931.23,794,91,89.75916666666666
338.81,135.52,90.35,152.48,5.41,934.58,796.85,91,88.5685
340.03,181.35,45.34,153.03,5.43,937.95,799.73,91,88.89466666666667
335.2,0,223.46,150.86,5.35,924.61,788.36,91,80.8062962962963
402.51533742331293,0,172.50511247443765,132.78118609406954,5.511247443762781,951.6973415132925,811.4519427402863,3,49.316483516483515
344.8559670781893,0,229.89711934156378,126.39917695473251,5.504115226337448,951.2448559670783,811.0699588477366,3,45.245054945054946
286.9700103412616,0,286.9700103412616,120.85832471561531,5.501551189245088,949.8965873836607,809.9069286452947,3,42.50989010989011
230.22869022869023,0,335.31185031185026,115.92515592515593,5.519750519750519,952.6091476091476,812.2245322245323,3,33.42747252747253
402.51533742331293,0,172.50511247443765,132.78118609406954,5.511247443762781,951.6973415132925,811.4519427402863,7,59.89175824175823
344.8559670781893,0,229.89711934156378,126.39917695473251,5.504115226337448,951.2448559670783,811.0699588477366,7,57.43846153846153
286.9700103412616,0,286.9700103412616,120.85832471561531,5.501551189245088,949.8965873836607,809.9069286452947,7,55.85164835164834
230.22869022869023,0,335.31185031185026,115.92515592515593,5.519750519750519,952.6091476091476,812.2245322245323,7,42.060989010989005
402.51533742331293,0,172.50511247443765,132.78118609406954,5.511247443762781,951.6973415132925,811.4519427402863,28,81.44945054945053
344.8559670781893,0,229.89711934156378,126.39917695473251,5.504115226337448,951.2448559670783,811.0699588477366,28,79.63296703296703
286.9700103412616,0,286.9700103412616,120.85832471561531,5.501551189245088,949.8965873836607,809.9069286452947,28,64.7043956043956
230.22869022869023,0,335.31185031185026,115.92515592515593,5.519750519750519,952.6091476091476,812.2245322245323,28,61.89615384615384
402.51533742331293,0,172.50511247443765,132.78118609406954,5.511247443762781,951.6973415132925,811.4519427402863,91,98.02747252747253
344.8559670781893,0,229.89711934156378,126.39917695473251,5.504115226337448,951.2448559670783,811.0699588477366,91,95.03131868131868
286.9700103412616,0,286.9700103412616,120.85832471561531,5.501551189245088,949.8965873836607,809.9069286452947,91,94.67637362637362
230.22869022869023,0,335.31185031185026,115.92515592515593,5.519750519750519,952.6091476091476,812.2245322245323,91,87.9741758241758
343.83879093198993,229.22921914357684,0,147.19395465994964,5.4911838790931995,948.4634760705289,808.6851385390428,3,54.04560439560439
341.51269035532994,45.53299492385787,182.14213197969542,138.4771573604061,5.451776649746193,942.0406091370558,803.2182741116751,3,60.91483516483517
343.6132315521629,91.63358778625954,137.44529262086513,136.83460559796438,5.486005089058524,947.8167938931298,808.1424936386768,3,62.34505494505493
345.7244897959184,138.28571428571428,92.1938775510204,135.18367346938774,5.520408163265306,953.6530612244898,813.1122448979592,3,58.28406593406593
348.03480040941656,185.61924257932446,46.40736949846469,133.09109518935517,5.5578300921187305,960.0307062436028,818.5568065506653,3,46.66483516483517
344.8559670781893,0,229.89711934156378,126.39917695473251,5.504115226337448,951.2448559670783,811.0699588477366,3,45.245054945054946
343.83879093198993,229.22921914357684,0,147.19395465994964,5.4911838790931995,948.4634760705289,808.6851385390428,7,66.28076923076924
341.51269035532994,45.53299492385787,182.14213197969542,138.4771573604061,5.451776649746193,942.0406091370558,803.2182741116751,7,78.12967032967033
343.6132315521629,91.63358778625954,137.44529262086513,136.83460559796438,5.486005089058524,947.8167938931298,808.1424936386768,7,75.81208791208792
345.7244897959184,138.28571428571428,92.1938775510204,135.18367346938774,5.520408163265306,953.6530612244898,813.1122448979592,7,68.27472527472527
348.03480040941656,185.61924257932446,46.40736949846469,133.09109518935517,5.5578300921187305,960.0307062436028,818.5568065506653,7,66.60439560439559
344.8559670781893,0,229.89711934156378,126.39917695473251,5.504115226337448,951.2448559670783,811.0699588477366,7,57.43846153846153
343.83879093198993,229.22921914357684,0,147.19395465994964,5.4911838790931995,948.4634760705289,808.6851385390428,28,87.19120879120878
341.51269035532994,45.53299492385787,182.14213197969542,138.4771573604061,5.451776649746193,942.0406091370558,803.2182741116751,28,91.88901098901097
343.6132315521629,91.63358778625954,137.44529262086513,136.83460559796438,5.486005089058524,947.8167938931298,808.1424936386768,28,89.63406593406593
345.7244897959184,138.28571428571428,92.1938775510204,135.18367346938774,5.520408163265306,953.6530612244898,813.1122448979592,28,86.73186813186811
348.03480040941656,185.61924257932446,46.40736949846469,133.09109518935517,5.5578300921187305,960.0307062436028,818.5568065506653,28,86.78406593406594
344.8559670781893,0,229.89711934156378,126.39917695473251,5.504115226337448,951.2448559670783,811.0699588477366,28,79.63296703296703
343.83879093198993,229.22921914357684,0,147.19395465994964,5.4911838790931995,948.4634760705289,808.6851385390428,91,88.75714285714284
341.51269035532994,45.53299492385787,182.14213197969542,138.4771573604061,5.451776649746193,942.0406091370558,803.2182741116751,91,94.84340659340658
343.6132315521629,91.63358778625954,137.44529262086513,136.83460559796438,5.486005089058524,947.8167938931298,808.1424936386768,91,95.59505494505494
345.7244897959184,138.28571428571428,92.1938775510204,135.18367346938774,5.520408163265306,953.6530612244898,813.1122448979592,91,95.21923076923076
348.03480040941656,185.61924257932446,46.40736949846469,133.09109518935517,5.5578300921187305,960.0307062436028,818.5568065506653,91,101.06538461538462
344.8559670781893,0,229.89711934156378,126.39917695473251,5.504115226337448,951.2448559670783,811.0699588477366,91,95.03131868131868
231.68516649848638,347.52774974772956,0,147.32593340060546,5.549949545913219,804.2381432896065,943.4914228052472,3,53.72197802197802
233.8085539714868,280.5702647657841,70.14256619144604,139.5112016293279,5.60081466395112,811.6089613034623,952.1384928716903,3,67.07417582417582
235.4871794871795,211.93846153846152,141.29230769230773,133.33333333333334,5.641025641025641,817.4358974358973,958.974358974359,3,61.582967032967034
236.70103092783506,142.02061855670104,213.03092783505153,128.86597938144328,5.6701030927835046,821.6494845360825,963.9175257731958,3,48.919780219780215
237.6811594202899,71.3043478260869,285.21739130434787,125.25879917184265,5.693581780538302,825.0517598343686,967.9089026915115,3,38.07307692307692
238.66943866943868,0,358.00415800415794,121.62162162162163,5.717255717255718,828.4823284823285,971.9334719334719,3,33.42747252747253
231.68516649848638,347.52774974772956,0,147.32593340060546,5.549949545913219,804.2381432896065,943.4914228052472,7,73.84945054945054
233.8085539714868,280.5702647657841,70.14256619144604,139.5112016293279,5.60081466395112,811.6089613034623,952.1384928716903,7,80.96923076923076
235.4871794871795,211.93846153846152,141.29230769230773,133.33333333333334,5.641025641025641,817.4358974358973,958.974358974359,7,73.17087912087912
236.70103092783506,142.02061855670104,213.03092783505153,128.86597938144328,5.6701030927835046,821.6494845360825,963.9175257731958,7,67.62747252747252
237.6811594202899,71.3043478260869,285.21739130434787,125.25879917184265,5.693581780538302,825.0517598343686,967.9089026915115,7,55.72637362637362
238.66943866943868,0,358.00415800415794,121.62162162162163,5.717255717255718,828.4823284823285,971.9334719334719,7,42.060989010989005
231.68516649848638,347.52774974772956,0,147.32593340060546,5.549949545913219,804.2381432896065,943.4914228052472,28,85.25989010989011
233.8085539714868,280.5702647657841,70.14256619144604,139.5112016293279,5.60081466395112,811.6089613034623,952.1384928716903,28,84.9467032967033
235.4871794871795,211.93846153846152,141.29230769230773,133.33333333333334,5.641025641025641,817.4358974358973,958.974358974359,28,77.59725274725274
236.70103092783506,142.02061855670104,213.03092783505153,128.86597938144328,5.6701030927835046,821.6494845360825,963.9175257731958,28,73.11868131868133
237.6811594202899,71.3043478260869,285.21739130434787,125.25879917184265,5.693581780538302,825.0517598343686,967.9089026915115,28,63.74395604395604
238.66943866943868,0,358.00415800415794,121.62162162162163,5.717255717255718,828.4823284823285,971.9334719334719,28,61.89615384615384
231.68516649848638,347.52774974772956,0,147.32593340060546,5.549949545913219,804.2381432896065,943.4914228052472,91,88.2142857142857
233.8085539714868,280.5702647657841,70.14256619144604,139.5112016293279,5.60081466395112,811.6089613034623,952.1384928716903,91,89.68626373626373
235.4871794871795,211.93846153846152,141.29230769230773,133.33333333333334,5.641025641025641,817.4358974358973,958.974358974359,91,94.66593406593407
236.70103092783506,142.02061855670104,213.03092783505153,128.86597938144328,5.6701030927835046,821.6494845360825,963.9175257731958,91,89.42527472527472
237.6811594202899,71.3043478260869,285.21739130434787,125.25879917184265,5.693581780538302,825.0517598343686,967.9089026915115,91,84.06978021978021
238.66943866943868,0,358.00415800415794,121.62162162162163,5.717255717255718,828.4823284823285,971.9334719334719,91,87.9741758241758
354,0,236,165.2,6.49,986,910,3,55.12087912087911
295,0,295,165.2,6.49,986,910,3,46.560439560439555
236,0,354,165.2,6.49,986,910,3,34.76373626373626
472,0,118,165.2,6.49,986,910,3,51.780219780219774
354,0,236,165.2,6.49,986,910,3,47.18681318681318
295,0,295,165.2,6.49,986,910,3,38.521978021978015
236,0,354,165.2,6.49,986,910,3,29.96153846153846
354,0,236,165.2,6.49,986,910,7,61.906593406593394
295,0,295,165.2,6.49,986,910,7,55.747252747252745
236,0,354,165.2,6.49,986,910,7,49.065934065934066
472,0,118,165.2,6.49,986,910,7,62.324175824175825
354,0,236,165.2,6.49,986,910,7,53.972527472527474
295,0,295,165.2,6.49,986,910,7,50.005494505494504
236,0,354,165.2,6.49,986,910,7,40.192307692307686
354,0,236,165.2,6.49,986,910,28,82.99450549450549
295,0,295,165.2,6.49,986,910,28,79.02747252747253
236,0,354,165.2,6.49,986,910,28,62.63736263736263
472,0,118,165.2,6.49,986,910,28,71.6153846153846
354,0,236,165.2,6.49,986,910,28,66.60439560439559
295,0,295,165.2,6.49,986,910,28,63.68131868131868
236,0,354,165.2,6.49,986,910,28,53.65934065934066
354,0,236,165.2,6.49,986,910,91,91.24175824175823
295,0,295,165.2,6.49,986,910,91,86.85714285714286
236,0,354,165.2,6.49,986,910,91,73.28571428571428
472,0,118,165.2,6.49,986,910,91,82.36813186813187
354,0,236,165.2,6.49,986,910,91,75.26923076923076
295,0,295,165.2,6.49,986,910,91,73.9120879120879
236,0,354,165.2,6.49,986,910,91,63.99450549450549
210,140,0,105,8.75,1188.85,826.1500000000001,3,48.3
140,210,0,105,7,1185.8999999999999,824.1000000000001,3,31.9
210,140,0,140,3.5,1135.75,789.25,3,31.9
140,210,0,140,1.75,1129.85,785.1500000000001,3,27.3
210,140,0,175,0,1079.7,750.3,3,24.3
140,210,0,175,0,1070.85,744.1500000000001,3,16.8
240,160,0,120,9.6,1141.6499999999999,793.3500000000001,3,48.5
160,240,0,120,6,1135.75,789.25,3,32.3
